Elevation_deg,PathLoss_dB,SINR_dB,Band
53.910614525139664,155.75390281552964,-13.893908526803202,S-Band (2 GHz)
54.385474860335194,155.7079135622643,-13.847919273537869,S-Band (2 GHz)
54.86033519553072,155.66266338340702,-13.802669094680581,S-Band (2 GHz)
55.33519553072626,155.61814645439463,-13.758152165668193,S-Band (2 GHz)
55.81005586592179,155.57435707258816,-13.714362783861716,S-Band (2 GHz)
56.28491620111732,155.53128965539125,-13.671295366664808,S-Band (2 GHz)
56.75977653631285,155.48893873839407,-13.628944449667628,S-Band (2 GHz)
57.23463687150838,155.44729897354316,-13.587304684816715,S-Band (2 GHz)
57.70949720670391,155.4063651273382,-13.546370838611764,S-Band (2 GHz)
58.184357541899445,155.36613207905663,-13.506137790330186,S-Band (2 GHz)
58.659217877094974,155.32659481900686,-13.466600530280417,S-Band (2 GHz)
59.134078212290504,155.28774844681084,-13.427754158084397,S-Band (2 GHz)
59.608938547486034,155.24958816971596,-13.389593880989523,S-Band (2 GHz)
60.08379888268156,155.21210930093744,-13.352115012211001,S-Band (2 GHz)
60.55865921787709,155.17530725803113,-13.315312969304685,S-Band (2 GHz)
61.03351955307262,155.13917756129695,-13.279183272570506,S-Band (2 GHz)
61.50837988826816,155.10371583221354,-13.243721543487098,S-Band (2 GHz)
61.98324022346369,155.06891779190403,-13.208923503177587,S-Band (2 GHz)
62.45810055865922,155.0347792596329,-13.174784970906458,S-Band (2 GHz)
62.93296089385475,155.00129615133432,-13.141301862607875,S-Band (2 GHz)
63.40782122905028,154.96846447817194,-13.108470189445498,S-Band (2 GHz)
63.88268156424581,154.93628034512946,-13.07628605640302,S-Band (2 GHz)
64.35754189944134,154.904739949633,-13.044745660906571,S-Band (2 GHz)
64.83240223463687,154.87383958020413,-13.013845291477693,S-Band (2 GHz)
65.3072625698324,154.8435756151441,-12.98358132641765,S-Band (2 GHz)
65.78212290502793,154.8139445212486,-12.95395023252216,S-Band (2 GHz)
66.25698324022346,154.78494285255354,-12.924948563827101,S-Band (2 GHz)
66.73184357541899,154.7565672491108,-12.896572960384347,S-Band (2 GHz)
67.20670391061452,154.72881443579433,-12.868820147067893,S-Band (2 GHz)
67.68156424581005,154.70168122113617,-12.84168693240973,S-Band (2 GHz)
